Date of collision,Grid,Number of Incidents,Implied vehicules,Serious injury,Light injury,Total victims,Trucks and car,Heavy tractor,Tool equipment,Bus,Bicycle,Moped,Motorcycle,Emergency vehicule,Snowmobile,VHR,Other types,Non-Precise vehicule,Pedestrian death,Pedestrian injury,Pedestrian victims,Motorcycle death,Motorcycle injuries,Motorcycle victims,Bicycle death,Bicycle injury,Bicycle victims,Severity: Inferior damages,Severity: Material damages,Severity: Serious injury,Severity: Light injury,Severity: Death
2012-01-01,GRID_45.458333155|-73.625002695,11,24,1,6,7,15,0,1,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,5,3,1,2,0
2012-01-01,GRID_45.458333155|-73.70833602500002,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2012-01-01,GRID_45.458333155|-73.791669355,2,4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0
2012-01-01,GRID_45.458333155|-73.875002685,3,4,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,0,0,0
2012-01-01,GRID_45.541666485|-73.541669365,12,28,0,5,5,22,0,0,0,0,0,0,0,0,0,0,3,0,2,2,0,0,0,0,0,0,5,3,0,4,0
2012-01-01,GRID_45.541666485|-73.625002695,13,28,0,0,0,21,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,8,5,0,0,0
2012-01-01,GRID_45.541666485|-73.70833602500002,6,13,0,3,3,11,0,0,0,0,0,0,0,0,0,0,2,0,1,1,0,0,0,0,0,0,2,2,0,2,0
2012-01-01,GRID_45.624999815|-73.541669365,5,9,0,2,2,8,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,2,0,1,0
2012-01-01,GRID_45.624999815|-73.625002695,8,18,0,3,3,16,0,0,0,0,0,0,0,0,0,0,2,0,1,1,0,0,0,0,0,0,3,3,0,2,0
2012-01-02,GRID_45.458333155|-73.625002695,5,8,0,1,1,5,0,0,0,0,0,0,0,0,0,0,3,0,1,1,0,0,0,0,0,0,3,1,0,1,0
2012-01-02,GRID_45.458333155|-73.791669355,6,11,0,0,0,8,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,3,0,0,0
2012-01-02,GRID_45.458333155|-73.875002685,5,10,0,0,0,7,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,4,0,0,0
2012-01-02,GRID_45.541666485|-73.541669365,7,13,0,0,0,8,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,4,0,0,0
2012-01-02,GRID_45.541666485|-73.625002695,11,23,0,2,2,18,0,0,0,0,0,0,0,0,0,0,5,0,1,1,0,0,0,0,0,0,7,2,0,2,0
2012-01-02,GRID_45.541666485|-73.70833602500002,1,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2012-01-02,GRID_45.624999815|-73.541669365,7,13,0,2,2,9,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,1,0,2,0
2012-01-02,GRID_45.624999815|-73.625002695,5,9,0,3,3,7,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,3,0,2,0
2012-01-03,GRID_45.458333155|-73.625002695,10,19,0,3,3,15,2,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,4,4,0,2,0
2012-01-03,GRID_45.458333155|-73.70833602500002,5,10,0,1,1,5,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,2,0,1,0
2012-01-03,GRID_45.458333155|-73.791669355,4,9,0,0,0,6,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,3,0,0,0
2012-01-03,GRID_45.458333155|-73.875002685,7,13,0,0,0,9,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,4,0,0,0
2012-01-03,GRID_45.541666485|-73.541669365,13,23,0,2,2,15,1,0,0,0,0,0,2,0,0,0,5,0,0,0,0,0,0,0,0,0,8,3,0,2,0
2012-01-03,GRID_45.541666485|-73.625002695,15,30,0,3,3,22,0,0,0,0,0,0,0,0,0,0,7,0,2,2,0,0,0,0,0,0,8,5,0,2,0
2012-01-03,GRID_45.541666485|-73.70833602500002,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2012-01-03,GRID_45.624999815|-73.541669365,8,13,0,3,3,10,1,0,0,0,0,0,0,0,0,0,2,0,2,2,0,0,0,0,0,0,4,2,0,2,0
2012-01-03,GRID_45.624999815|-73.625002695,5,8,0,0,0,5,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0
2012-01-04,GRID_45.458333155|-73.625002695,13,25,0,0,0,16,1,0,0,0,0,0,1,0,0,0,7,0,0,0,0,0,0,0,0,0,4,9,0,0,0
2012-01-04,GRID_45.458333155|-73.70833602500002,5,9,0,0,0,6,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,4,1,0,0,0
